浓缩污泥TSS,浓缩污泥Q,上清液TSS,泥饼TSS,泥饼Q,滤液TSS,滤液Q,干固体产率,泥饼含固率,t_day,目标泥饼含固率,目标浓缩含固率,轨迹
63894.09722222221,60.71777849114354,244.1503730274604,218940.97222222222,17.36503428572964,1789.7402866349612,43.352744205413906,3801.9174891898692,21894.097222222223,56.63541666666666,21.89409722222222,6.389409722222222,退化
63892.36111111111,60.74037668491515,244.25162659007415,218923.61111111115,17.37240282238764,1789.7290260686107,43.367973862527506,3803.229159553962,21892.361111111117,56.64583333333333,21.892361111111114,6.389236111111111,退化
63890.625,60.76284112561056,244.35225065253974,218906.25,17.379733919726558,1789.7177709596745,43.383107205883995,3804.532378365142,21890.625,56.65625,21.890625,6.3890625,退化
63888.88888888888,60.78502338267394,244.45153616473132,218888.88888888893,17.386985114790228,1789.706521309793,43.39803826788371,3805.8178529040842,21888.888888888894,56.66666666666666,21.888888888888893,6.388888888888889,退化
63887.15277777778,60.806766742157855,244.54873420867577,218871.52777777778,17.394111566255052,1789.6952771206088,43.412655175902806,3807.0757728433587,21887.152777777777,56.67708333333333,21.88715277777778,6.388715277777778,退化
63885.41666666666,60.827915606915425,244.64310089412868,218854.1666666667,17.40106874292566,1789.684038393761,43.426846863989766,3808.296398842376,21885.416666666668,56.6875,21.885416666666668,6.388541666666667,退化
63883.680555555555,60.84831101984873,244.7338759993845,218836.80555555556,17.407811143081524,1789.672805130894,43.4404998767672,3809.4697822663647,21883.680555555555,56.69791666666666,21.883680555555557,6.3883680555555555,退化
63881.944444444445,60.86776768148621,244.8201731965949,218819.44444444444,17.414285718944843,1789.6615773336514,43.45348196254136,3810.584326416333,21881.944444444445,56.70833333333333,21.881944444444443,6.388194444444444,退化
63880.208333333336,60.88608447402225,244.9010303191669,218802.08333333334,17.42043488579874,1789.6503550036746,43.465649588223506,3811.6274455854436,21880.208333333336,56.71875,21.880208333333336,6.388020833333333,退化
63878.472222222226,60.903033848312084,244.97535867704664,218784.72222222222,17.426193484101727,1789.639138142612,43.47684036421036,3812.5849008098953,21878.472222222223,56.72916666666666,21.87847222222222,6.387847222222223,退化
63876.73611111111,60.91836824148972,245.04197375453762,218767.36111111115,17.431490613879443,1789.6279267521056,43.486877627610276,3813.441201831509,21876.736111111117,56.73958333333333,21.876736111111114,6.387673611111111,退化
63874.99999999999,60.93187243851171,245.09984551051556,218750.0,17.436264617004507,1789.6167208338013,43.4956078215072,3814.182884969736,21875.0,56.75,21.875,6.3875,退化
63873.26388888889,60.94337854522144,245.14817009599733,218732.6388888889,17.440467364521762,1789.6055203893482,43.50291118069968,3814.7994500973905,21873.26388888889,56.76041666666666,21.87326388888889,6.387326388888889,退化
63871.527777777774,60.95276022510747,245.18634246765956,218715.27777777778,17.444062610795918,1789.5943254203914,43.508697614311544,3815.2829994931767,21871.527777777777,56.77083333333333,21.87152777777778,6.387152777777778,退化
63869.791666666664,60.959943008236756,245.21400577682576,218697.91666666666,17.447028947078042,1789.5831359285785,43.51291406115871,3815.6288827489943,21869.791666666664,56.78125,21.869791666666664,6.386979166666666,退化
63868.05555555556,60.96488275584295,245.23094853039095,218680.55555555556,17.449353641517238,1789.5719519155598,43.51552911432571,3815.834348412346,21868.055555555555,56.79166666666666,21.868055555555557,6.386805555555556,退化
63866.319444444445,60.96753742081596,245.23696966844082,218663.19444444444,17.451024558297462,1789.560773382983,43.516512862518496,3815.896776245773,21866.319444444445,56.80208333333333,21.866319444444443,6.386631944444445,退化
63864.583333333336,60.96789706792262,245.2320220629888,218645.83333333334,17.452038751070265,1789.549600332498,43.51585831685235,3815.815556093384,21864.583333333336,56.8125,21.864583333333336,6.386458333333334,退化
63862.847222222226,60.965972861657825,245.2161598899335,218628.47222222225,17.45239931296562,1789.538432765755,43.5135735486922,3815.591398405835,21862.847222222226,56.82291666666666,21.862847222222225,6.386284722222222,退化
63861.11111111111,60.961784846822475,245.18948021610788,218611.1111111111,17.452111879998476,1789.5272706844069,43.509672966824,3815.225569321889,21861.11111111111,56.83333333333333,21.86111111111111,6.386111111111111,退化
63859.375,60.95538871810561,245.152250892408,218593.75,17.45119229571692,1789.5161140901032,43.504196422388695,3814.7215658918703,21859.375,56.84375,21.859375,6.3859375,退化
63857.63888888888,60.94681819115041,245.10463512172115,218576.3888888889,17.449650114160093,1789.5049629844968,43.49716807699032,3814.0815093277015,21857.63888888889,56.85416666666666,21.85763888888889,6.385763888888889,退化
63855.90277777778,60.936101768505004,245.04677157186438,218559.02777777778,17.44749339871661,1789.4938173692422,43.488608369788395,3813.3071943826976,21855.902777777777,56.86458333333333,21.85590277777778,6.385590277777778,退化
63854.16666666667,60.923366675154014,244.9792708707181,218541.66666666666,17.44475848257008,1789.482677245993,43.478608192583934,3812.4065933783363,21854.166666666664,56.875,21.854166666666664,6.385416666666667,退化
63852.430555555555,60.90894634470417,244.9037287151818,218524.30555555556,17.441540755220764,1789.4715426164028,43.467405589483405,3811.4005813535377,21852.430555555555,56.88541666666666,21.852430555555557,6.385243055555556,退化
63850.694444444445,60.89337457901907,244.82269728527513,218506.94444444447,17.43799300541729,1789.4604134821268,43.45538157360178,3810.322568857327,21850.694444444445,56.89583333333333,21.850694444444446,6.3850694444444445,退化
