t_day,cake_solids_pct,target_pct,wet_cake_m3d,filtrate_m3d,filtrate_tss,dry_solids_kgd,overflow_tss,thickened_pct,track
32.18750000,28.00000000,28.00000000,13.45619200,41.46704064,1854.30463576,3767.73375920,237.70761434,7.00000000,degraded
32.19791667,28.00000000,28.00000000,13.44055939,41.41886670,1854.30463576,3763.35663006,237.38557118,7.00000000,degraded
32.20833333,28.00000000,28.00000000,13.42513184,41.37132465,1854.30463576,3759.03691531,237.06787425,7.00000000,degraded
32.21875000,28.00000000,28.00000000,13.41002431,41.32476880,1854.30463576,3754.80680785,236.75688497,7.00000000,degraded
32.22916667,28.00000000,28.00000000,13.39536295,41.27958788,1854.30463576,3750.70162740,236.45519110,7.00000000,degraded
32.23958333,28.00000000,28.00000000,13.38128244,41.23619690,1854.30463576,3746.75908240,236.16555235,7.00000000,degraded
32.25000000,28.00000000,28.00000000,13.36790250,41.19496483,1854.30463576,3743.01269861,235.89041792,7.00000000,degraded
32.26041667,28.00000000,28.00000000,13.35530721,41.15615079,1854.30463576,3739.48601900,235.63150166,7.00000000,degraded
32.27083333,28.00000000,28.00000000,13.34353736,41.11988045,1854.30463576,3736.19046205,235.38962640,7.00000000,degraded
32.28125000,28.00000000,28.00000000,13.33260437,41.08618898,1854.30463576,3733.12922370,235.16501178,7.00000000,degraded
32.29166667,28.00000000,28.00000000,13.32253318,41.05515328,1854.30463576,3730.30929153,234.95815635,7.00000000,degraded
32.30208333,28.00000000,28.00000000,13.31339024,41.02697808,1854.30463576,3727.74926652,234.77041089,7.00000000,degraded
32.31250000,28.00000000,28.00000000,13.30526640,41.00194339,1854.30463576,3725.47459147,234.60362779,7.00000000,degraded
32.32291667,28.00000000,28.00000000,13.29830393,40.98048762,1854.30463576,3723.52510009,234.46071434,7.00000000,degraded
32.33333333,28.00000000,28.00000000,13.29268556,40.96317386,1854.30463576,3721.95195620,234.34540810,7.00000000,degraded
32.34375000,28.00000000,28.00000000,13.28859566,40.95057029,1854.30463576,3720.80678390,234.26148081,7.00000000,degraded
32.35416667,28.00000000,28.00000000,13.28625915,40.94337003,1854.30463576,3720.15256210,234.21353807,7.00000000,degraded
32.36458333,28.00000000,28.00000000,13.28592601,40.94234342,1854.30463576,3720.05928248,234.20670257,7.00000000,degraded
32.37500000,28.00000000,28.00000000,13.28782348,40.94819072,1854.30463576,3720.59057404,234.24563619,7.00000000,degraded
32.38541667,28.00000000,28.00000000,13.29220300,40.96168678,1854.30463576,3721.81683871,234.33550518,7.00000000,degraded
32.39583333,28.00000000,28.00000000,13.29934790,40.98370476,1854.30463576,3723.81741303,234.48214167,7.00000000,degraded
