file,method,quantile,recall,fp_per_hour,tia,delay
valve1\1.csv,F3,0.9,1.0,0.0,0.011406844106463879,340.0
valve1\1.csv,F3,0.99,0.0,0.0,0.0,
valve1\1.csv,F3,0.995,0.0,0.0,0.0,
valve1\1.csv,F3,0.999,0.0,0.0,0.0,
valve1\10.csv,F0,0.9,0.0,0.0,0.0,
valve1\10.csv,F0,0.99,0.0,0.0,0.0,
valve1\10.csv,F0,0.995,0.0,0.0,0.0,
valve1\10.csv,F0,0.999,0.0,0.0,0.0,
valve1\10.csv,F2,0.9,1.0,13.584905660377357,0.2528301886792453,111.0
valve1\10.csv,F2,0.99,0.0,13.584905660377357,0.17735849056603772,
valve1\10.csv,F2,0.995,0.0,13.584905660377357,0.17735849056603772,
valve1\10.csv,F2,0.999,0.0,0.0,0.0,
valve1\10.csv,F3,0.9,1.0,13.584905660377357,0.15849056603773584,6.0
valve1\10.csv,F3,0.99,1.0,0.0,0.0,15.0
valve1\10.csv,F3,0.995,1.0,0.0,0.0,16.0
valve1\10.csv,F3,0.999,1.0,0.0,0.0,17.0
valve1\11.csv,F0,0.9,0.0,0.0,0.0,
valve1\11.csv,F0,0.99,0.0,0.0,0.0,
valve1\11.csv,F0,0.995,0.0,0.0,0.0,
valve1\11.csv,F0,0.999,0.0,0.0,0.0,
valve1\11.csv,F2,0.9,1.0,13.740458015267176,0.20610687022900764,160.0
valve1\11.csv,F2,0.99,1.0,0.0,0.022900763358778626,357.0
valve1\11.csv,F2,0.995,1.0,0.0,0.022900763358778626,357.0
valve1\11.csv,F2,0.999,1.0,0.0,0.022900763358778626,357.0
valve1\11.csv,F3,0.9,0.0,0.0,0.0,
valve1\11.csv,F3,0.99,0.0,0.0,0.0,
valve1\11.csv,F3,0.995,0.0,0.0,0.0,
valve1\11.csv,F3,0.999,0.0,0.0,0.0,
valve1\12.csv,F0,0.9,0.0,0.0,0.0,
valve1\12.csv,F0,0.99,0.0,0.0,0.0,
valve1\12.csv,F0,0.995,0.0,0.0,0.0,
valve1\12.csv,F0,0.999,0.0,0.0,0.0,
valve1\12.csv,F2,0.9,1.0,13.793103448275863,0.23371647509578544,2.0
valve1\12.csv,F2,0.99,1.0,13.793103448275863,0.16475095785440613,4.0
valve1\12.csv,F2,0.995,1.0,0.0,0.0,23.0
valve1\12.csv,F2,0.999,1.0,0.0,0.0,23.0
valve1\12.csv,F3,0.9,0.0,13.793103448275863,0.30268199233716475,
valve1\12.csv,F3,0.99,0.0,13.793103448275863,0.22988505747126436,
valve1\12.csv,F3,0.995,0.0,13.793103448275863,0.2260536398467433,
valve1\12.csv,F3,0.999,0.0,13.793103448275863,0.21839080459770116,
valve1\13.csv,F0,0.9,0.0,0.0,0.0,
valve1\13.csv,F0,0.99,0.0,0.0,0.0,
valve1\13.csv,F0,0.995,0.0,0.0,0.0,
valve1\13.csv,F0,0.999,0.0,0.0,0.0,
valve1\13.csv,F2,0.9,0.0,13.793103448275863,0.2796934865900383,
valve1\13.csv,F2,0.99,1.0,0.0,0.0,175.0
valve1\13.csv,F2,0.995,1.0,0.0,0.0,175.0
valve1\13.csv,F2,0.999,1.0,0.0,0.0,175.0
valve1\13.csv,F3,0.9,0.0,13.793103448275863,0.19540229885057472,
valve1\13.csv,F3,0.99,0.0,13.793103448275863,0.08045977011494253,
valve1\13.csv,F3,0.995,0.0,13.793103448275863,0.08045977011494253,
valve1\13.csv,F3,0.999,0.0,13.793103448275863,0.07662835249042145,
valve1\14.csv,F0,0.9,0.0,0.0,0.0,
valve1\14.csv,F0,0.99,0.0,0.0,0.0,
valve1\14.csv,F0,0.995,0.0,0.0,0.0,
valve1\14.csv,F0,0.999,0.0,0.0,0.0,
valve1\14.csv,F2,0.9,1.0,13.846153846153847,0.20384615384615384,-4.0
valve1\14.csv,F2,0.99,1.0,13.846153846153847,0.19230769230769232,144.0
valve1\14.csv,F2,0.995,1.0,13.846153846153847,0.18846153846153846,144.0
valve1\14.csv,F2,0.999,1.0,13.846153846153847,0.18076923076923077,144.0
valve1\14.csv,F3,0.9,1.0,0.0,0.0,20.0
valve1\14.csv,F3,0.99,1.0,0.0,0.0,325.0
valve1\14.csv,F3,0.995,1.0,0.0,0.0,326.0
valve1\14.csv,F3,0.999,0.0,0.0,0.0,
valve1\15.csv,F0,0.9,0.0,0.0,0.0,
valve1\15.csv,F0,0.99,0.0,0.0,0.0,
valve1\15.csv,F0,0.995,0.0,0.0,0.0,
valve1\15.csv,F0,0.999,0.0,0.0,0.0,
valve1\15.csv,F2,0.9,1.0,13.533834586466165,0.8759398496240601,360.0
valve1\15.csv,F2,0.99,0.0,13.533834586466165,0.20300751879699247,
valve1\15.csv,F2,0.995,0.0,0.0,0.0,
valve1\15.csv,F2,0.999,0.0,0.0,0.0,
valve1\15.csv,F3,0.9,1.0,0.0,0.13533834586466165,-36.0
valve1\15.csv,F3,0.99,1.0,0.0,0.12781954887218044,-34.0
valve1\15.csv,F3,0.995,1.0,0.0,0.12781954887218044,-34.0
valve1\15.csv,F3,0.999,1.0,0.0,0.12406015037593984,-33.0
valve1\2.csv,F0,0.9,0.0,0.0,0.0,
