cal_mode,file,method,quantile,recall,fp_per_hour,delay,time_in_alarm
mid,valve1\10.csv,F2,0.9,1.0,41.860465116279066,111.0,0.38953488372093026
mid,valve1\10.csv,F2,0.99,0.0,20.930232558139533,,0.27325581395348836
mid,valve1\10.csv,F2,0.995,0.0,20.930232558139533,,0.27325581395348836
mid,valve1\10.csv,F2,0.999,0.0,0.0,,0.0
mid,valve1\10.csv,F3,0.9,0.0,41.860465116279066,,0.436046511627907
mid,valve1\10.csv,F3,0.99,1.0,20.930232558139533,-5.0,0.26744186046511625
mid,valve1\10.csv,F3,0.995,1.0,20.930232558139533,5.0,0.25
mid,valve1\10.csv,F3,0.999,1.0,20.930232558139533,5.0,0.2441860465116279
mid,valve1\11.csv,F0,0.9,0.0,0.0,,0.0
mid,valve1\11.csv,F0,0.99,0.0,0.0,,0.0
mid,valve1\11.csv,F0,0.995,0.0,0.0,,0.0
mid,valve1\11.csv,F0,0.999,0.0,0.0,,0.0
mid,valve1\11.csv,F2,0.9,1.0,41.860465116279066,160.0,0.313953488372093
mid,valve1\11.csv,F2,0.99,1.0,0.0,357.0,0.03488372093023256
mid,valve1\11.csv,F2,0.995,1.0,0.0,357.0,0.03488372093023256
mid,valve1\11.csv,F2,0.999,1.0,0.0,358.0,0.03488372093023256
mid,valve1\11.csv,F3,0.9,1.0,20.930232558139533,131.0,0.0
mid,valve1\11.csv,F3,0.99,1.0,20.930232558139533,96.0,0.28488372093023256
mid,valve1\11.csv,F3,0.995,1.0,20.930232558139533,98.0,0.27906976744186046
mid,valve1\11.csv,F3,0.999,1.0,20.930232558139533,99.0,0.26744186046511625
mid,valve1\12.csv,F0,0.9,0.0,0.0,,0.0
mid,valve1\12.csv,F0,0.99,0.0,0.0,,0.0
mid,valve1\12.csv,F0,0.995,0.0,0.0,,0.0
mid,valve1\12.csv,F0,0.999,0.0,0.0,,0.0
mid,valve1\12.csv,F2,0.9,1.0,42.10526315789474,2.0,0.3567251461988304
mid,valve1\12.csv,F2,0.99,1.0,21.05263157894737,21.0,0.30409356725146197
mid,valve1\12.csv,F2,0.995,1.0,0.0,24.0,0.0
mid,valve1\12.csv,F2,0.999,0.0,0.0,,0.0
mid,valve1\12.csv,F3,0.9,0.0,21.05263157894737,,0.0
mid,valve1\12.csv,F3,0.99,0.0,0.0,,0.0
mid,valve1\12.csv,F3,0.995,0.0,0.0,,0.0
mid,valve1\12.csv,F3,0.999,0.0,0.0,,0.0
mid,valve1\13.csv,F0,0.9,0.0,0.0,,0.0
mid,valve1\13.csv,F0,0.99,0.0,0.0,,0.0
mid,valve1\13.csv,F0,0.995,0.0,0.0,,0.0
mid,valve1\13.csv,F0,0.999,0.0,0.0,,0.0
mid,valve1\13.csv,F2,0.9,1.0,21.05263157894737,161.0,0.0
mid,valve1\13.csv,F2,0.99,1.0,0.0,175.0,0.0
mid,valve1\13.csv,F2,0.995,1.0,0.0,175.0,0.0
mid,valve1\13.csv,F2,0.999,1.0,0.0,175.0,0.0
mid,valve1\13.csv,F3,0.9,1.0,21.05263157894737,-45.0,0.38596491228070173
mid,valve1\13.csv,F3,0.99,1.0,21.05263157894737,80.0,0.23391812865497075
mid,valve1\13.csv,F3,0.995,1.0,21.05263157894737,81.0,0.23391812865497075
mid,valve1\13.csv,F3,0.999,1.0,21.05263157894737,81.0,0.22807017543859648
mid,valve1\14.csv,F0,0.9,0.0,0.0,,0.0
mid,valve1\14.csv,F0,0.99,0.0,0.0,,0.0
mid,valve1\14.csv,F0,0.995,0.0,0.0,,0.0
mid,valve1\14.csv,F0,0.999,0.0,0.0,,0.0
mid,valve1\14.csv,F2,0.9,1.0,42.10526315789474,-4.0,0.28654970760233917
mid,valve1\14.csv,F2,0.99,1.0,21.05263157894737,144.0,0.2982456140350877
mid,valve1\14.csv,F2,0.995,1.0,21.05263157894737,144.0,0.29239766081871343
mid,valve1\14.csv,F2,0.999,1.0,21.05263157894737,144.0,0.27485380116959063
mid,valve1\14.csv,F3,0.9,1.0,21.05263157894737,239.0,0.0
mid,valve1\14.csv,F3,0.99,1.0,21.05263157894737,8.0,0.38011695906432746
mid,valve1\14.csv,F3,0.995,1.0,21.05263157894737,8.0,0.3742690058479532
mid,valve1\14.csv,F3,0.999,1.0,21.05263157894737,8.0,0.3742690058479532
mid,valve1\15.csv,F0,0.9,0.0,0.0,,0.0
mid,valve1\15.csv,F0,0.99,0.0,0.0,,0.0
mid,valve1\15.csv,F0,0.995,0.0,0.0,,0.0
mid,valve1\15.csv,F0,0.999,0.0,0.0,,0.0
mid,valve1\15.csv,F2,0.9,1.0,20.930232558139533,-62.0,0.0
mid,valve1\15.csv,F2,0.99,0.0,20.930232558139533,,0.0
mid,valve1\15.csv,F2,0.995,0.0,20.930232558139533,,0.0
mid,valve1\15.csv,F2,0.999,0.0,20.930232558139533,,0.0
mid,valve1\15.csv,F3,0.9,1.0,0.0,-38.0,0.0
mid,valve1\15.csv,F3,0.99,0.0,0.0,,0.0
mid,valve1\15.csv,F3,0.995,0.0,0.0,,0.0
mid,valve1\15.csv,F3,0.999,0.0,0.0,,0.0
mid,valve1\2.csv,F0,0.9,0.0,0.0,,0.0
mid,valve1\2.csv,F0,0.99,0.0,0.0,,0.0
mid,valve1\2.csv,F0,0.995,0.0,0.0,,0.0
mid,valve1\2.csv,F0,0.999,0.0,0.0,,0.0
mid,valve1\2.csv,F2,0.9,0.0,53.73134328358209,,0.22885572139303484
mid,valve1\2.csv,F2,0.99,0.0,17.910447761194032,,0.0
mid,valve1\2.csv,F2,0.995,0.0,17.910447761194032,,0.0
mid,valve1\2.csv,F2,0.999,0.0,17.910447761194032,,0.0
mid,valve1\2.csv,F3,0.9,0.0,17.910447761194032,,0.0
mid,valve1\2.csv,F3,0.99,0.0,0.0,,0.0
mid,valve1\2.csv,F3,0.995,0.0,0.0,,0.0
mid,valve1\2.csv,F3,0.999,0.0,0.0,,0.0
mid,valve1\3.csv,F0,0.9,0.0,0.0,,0.0
mid,valve1\3.csv,F0,0.99,0.0,0.0,,0.0
mid,valve1\3.csv,F0,0.995,0.0,0.0,,0.0
mid,valve1\3.csv,F0,0.999,0.0,0.0,,0.0
mid,valve1\3.csv,F2,0.9,1.0,0.0,-22.0,0.029239766081871343
mid,valve1\3.csv,F2,0.99,1.0,0.0,360.0,0.005847953216374269
mid,valve1\3.csv,F2,0.995,0.0,0.0,,0.0
mid,valve1\3.csv,F2,0.999,0.0,0.0,,0.0
mid,valve1\3.csv,F3,0.9,1.0,21.05263157894737,306.0,0.0
mid,valve1\3.csv,F3,0.99,1.0,21.05263157894737,2.0,0.30994152046783624
mid,valve1\3.csv,F3,0.995,1.0,21.05263157894737,3.0,0.30409356725146197
mid,valve1\3.csv,F3,0.999,1.0,21.05263157894737,3.0,0.30409356725146197
mid,valve1\4.csv,F0,0.9,0.0,0.0,,0.0
mid,valve1\4.csv,F0,0.99,0.0,0.0,,0.0
mid,valve1\4.csv,F0,0.995,0.0,0.0,,0.0
mid,valve1\4.csv,F0,0.999,0.0,0.0,,0.0
mid,valve1\4.csv,F2,0.9,1.0,36.18090452261306,-34.0,0.4271356783919598
mid,valve1\4.csv,F2,0.99,1.0,36.18090452261306,-11.0,0.2562814070351759
mid,valve1\4.csv,F2,0.995,1.0,36.18090452261306,-11.0,0.2562814070351759
mid,valve1\4.csv,F2,0.999,1.0,36.18090452261306,-11.0,0.2562814070351759
mid,valve1\4.csv,F3,0.9,1.0,18.09045226130653,285.0,0.10552763819095477
mid,valve1\4.csv,F3,0.99,1.0,0.0,301.0,0.005025125628140704
mid,valve1\4.csv,F3,0.995,1.0,0.0,301.0,0.005025125628140704
mid,valve1\4.csv,F3,0.999,1.0,0.0,302.0,0.005025125628140704
mid,valve1\5.csv,F0,0.9,0.0,0.0,,0.0
mid,valve1\5.csv,F0,0.99,0.0,0.0,,0.0
mid,valve1\5.csv,F0,0.995,0.0,0.0,,0.0
mid,valve1\5.csv,F0,0.999,0.0,0.0,,0.0
mid,valve1\5.csv,F2,0.9,0.0,20.689655172413794,,0.0
mid,valve1\5.csv,F2,0.99,0.0,0.0,,0.0
mid,valve1\5.csv,F2,0.995,0.0,0.0,,0.0
mid,valve1\5.csv,F2,0.999,0.0,0.0,,0.0
mid,valve1\5.csv,F3,0.9,1.0,0.0,-68.0,0.6609195402298851
mid,valve1\5.csv,F3,0.99,1.0,20.689655172413794,81.0,0.4425287356321839
mid,valve1\5.csv,F3,0.995,1.0,20.689655172413794,83.0,0.4367816091954023
mid,valve1\5.csv,F3,0.999,1.0,20.689655172413794,83.0,0.43103448275862066
mid,valve1\6.csv,F0,0.9,0.0,0.0,,0.0
mid,valve1\6.csv,F0,0.99,0.0,0.0,,0.0
mid,valve1\6.csv,F0,0.995,0.0,0.0,,0.0
mid,valve1\6.csv,F0,0.999,0.0,0.0,,0.0
mid,valve1\6.csv,F2,0.9,0.0,0.0,,0.0
mid,valve1\6.csv,F2,0.99,0.0,0.0,,0.0
mid,valve1\6.csv,F2,0.995,0.0,0.0,,0.0
mid,valve1\6.csv,F2,0.999,0.0,0.0,,0.0
mid,valve1\6.csv,F3,0.9,1.0,20.809248554913296,230.0,0.0
mid,valve1\6.csv,F3,0.99,1.0,0.0,109.0,0.0
mid,valve1\6.csv,F3,0.995,1.0,0.0,110.0,0.0
mid,valve1\6.csv,F3,0.999,1.0,0.0,110.0,0.0
mid,valve1\7.csv,F0,0.9,1.0,0.0,55.0,0.7816901408450704
mid,valve1\7.csv,F0,0.99,0.0,0.0,,0.0
mid,valve1\7.csv,F0,0.995,0.0,0.0,,0.0
mid,valve1\7.csv,F0,0.999,0.0,0.0,,0.0
mid,valve1\7.csv,F2,0.9,1.0,25.35211267605634,195.0,0.0
mid,valve1\7.csv,F2,0.99,1.0,25.35211267605634,33.0,0.4084507042253521
mid,valve1\7.csv,F2,0.995,1.0,25.35211267605634,39.0,0.4084507042253521
mid,valve1\7.csv,F2,0.999,1.0,25.35211267605634,39.0,0.4084507042253521
mid,valve1\7.csv,F3,0.9,1.0,25.35211267605634,12.0,0.5704225352112676
mid,valve1\7.csv,F3,0.99,1.0,0.0,-27.0,0.7183098591549296
mid,valve1\7.csv,F3,0.995,1.0,0.0,-27.0,0.7183098591549296
mid,valve1\7.csv,F3,0.999,1.0,0.0,-27.0,0.7183098591549296
mid,valve1\8.csv,F0,0.9,0.0,0.0,,0.0
